id,label,type,definition,color,size,degree
https://data.crow.nl/imbor/term/1b989ac7-fda9-4808-b483-0067f12b617f,productspecificatie,Concept,Nadere aanduiding van gefabriceerd object.,#FFEAA7,5,16
https://data.crow.nl/imbor/term/term-schema,IMBOR Vocabulaire (Begrippenkader voor IMBOR),ConceptScheme,,#BDC3C7,50,9023
https://data.crow.nl/imbor/term/72320e26-59d7-4692-a8c6-aa01b60b108e,2 m. en breder,Concept,"Klasse in ondergrens voorzien door de afgemeten, ruimtelijk in de breedte strekkende hoeveelheid van twee meter.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/ecfbb12b-14ec-4bad-ba5f-de06e0c8006c,Sport- en speldrainage,Concept,"Drainage onder grasvelden, parken of sportvelden, vaak bestaande uit parallel aan elkaar gelegen drainageleidingen.",#FFEAA7,5,6
https://data.crow.nl/imbor/term/5c86431c-7905-4cbe-ae73-76121cc6b1f4,Voorkomen van explosie,Concept,,#FFEAA7,5,5
https://data.crow.nl/imbor/term/41704b79-4a81-4f17-90a5-f977b5e0acd5,vrije takval (RAW),Concept,Aanduiding of het zonder begeleiding laten neerkomen van takkentoegestaan is.,#FFEAA7,5,6
http://www.w3.org/2004/02/skos/core#Concept,Concept,Unknown,,#BDC3C7,49,8919
https://data.crow.nl/imbor/term/12895e0e-bcd4-4c0f-98fa-57a22e2fc7ee,Klasse,Collection,,#BDC3C7,5,201
https://data.crow.nl/imbor/term/10f4ea25-70d7-4e3a-9a05-d7be8dfb0e36,Sluis,Concept,"Kunstwerk met een beweegbare waterkering, dat de verbinding vormt tussen twee wateren.",#FFEAA7,5,14
https://data.crow.nl/imbor/term/b3f50952-cf77-4320-9ce9-4836d4b6a537,B,Concept,Van gemiddelde kwaliteit.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/c8ffc3f9-cb89-498e-b796-b655fe985981,2 fases,Concept,Er zijn twee fases aanwezig.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/9cec6048-0358-4d4e-82d7-7804fca70737,Attribuut,Collection,,#BDC3C7,8,720
https://data.crow.nl/imbor/term/86e12c2d-fabc-4054-9838-40a5f3349620,taludsteilte,Concept,Aanduiding van de steilte van het talud.,#FFEAA7,5,7
https://data.crow.nl/imbor/term/caa9e3e1-c92a-4773-afbd-538f694bd962,BioBased HDPE,Concept,High-density polyethylene van organische oorsprong; een thermoplastisch polymeer met een goede verhouding tussen de kracht en de dichtheid van het materiaal.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/47eb8dde-5e76-4cc8-bb75-545408154d89,Donkere waterjuffer,Concept,"Coenagrion armatum, deze juffer is tussen de 31 en 34 millimeter lang. De soort is zeer donker gekleurde maar heeft contrasterende lichte delen aan het begin en aan het einde van het achterlijf.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/9ff64cb5-2b40-4395-8be0-ee1bffe5cf0e,Topologisch element,Collection,,#BDC3C7,5,35
https://data.crow.nl/imbor/term/e0d95c1b-77a6-4e9e-8b2b-4d1c17cffa56,Perceelaansluitpunt,Concept,De plaats waar het afvalwater van een perceel geloosd wordt op een perceelaansluitleiding.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/ea1b879a-85c4-4195-b105-b3b27cfeeb75,Meetpunt,Concept,Een fysiek punt waar een rechtstreekse meting en/of een monstername plaatsvindt.,#FFEAA7,5,8
https://data.crow.nl/imbor/term/cdf92441-2a71-41b4-b2a6-35e6d9fff395,OB307,Concept,Alleen pinpas.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/552f3195-8db2-4d72-8491-7d0f21c735a3,aantal onderlagen,Concept,De hoeveelheid bedekkingen onder de asfaltverharding.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/d3922e9f-e515-4efb-b7c8-ea97eca4b3bf,aantal,Concept,Een telbare hoeveelheid.,#FFEAA7,5,36
https://data.crow.nl/imbor/term/b2d0c335-e90b-436a-ad5e-30cf59eed259,OB01,Concept,Uitgezonderd ruiters.,#FFEAA7,5,6
