source,target,source_label,target_label,predicate,predicate_label,edge_type
https://w3id.org/nen2660/term#hasPart,literal_270062515657331416,hasPart,"""heeft deel""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
http://www.w3.org/2006/time#TemporalEntity,literal_525117474644672959,TemporalEntity,"""Temporal entity""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/def#requirementTopicType,literal_-1296850093412372031,requirementTopicType,"""requirement topic type""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/def#AmountOfBulkMatter,literal_-8317346490338700215,AmountOfBulkMatter,"""Amount of bulk matter""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/term#Representation,literal_4704553633231658941,Representation,"""Representation""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/def#hasTechnicalPart,https://w3id.org/nen2660/def#TechnicalEntity,hasTechnicalPart,TechnicalEntity,http://www.w3.org/2000/01/rdf-schema#domain,domain,domain
https://w3id.org/nen2660/def#hasUnit,literal_2513806916108670370,hasUnit,"""has unit""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/term#abbreviation,literal_-4714808055984803835,abbreviation,"""afkorting""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/term#hasBoundary,http://www.w3.org/2004/02/skos/core#Concept,hasBoundary,Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/skos/term,http://www.w3.org/2004/02/skos/core,term,core,http://www.w3.org/2002/07/owl#imports,imports,imports
https://w3id.org/nen2660/term#isConnectedTo,literal_3393344635418446378,isConnectedTo,"""is connected to""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/def#isImplementedBy,literal_2791842647309492919,isImplementedBy,"""The technical entity that implements a functional ...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#Interface,https://w3id.org/nen2660/term#SpatialRegion,Interface,SpatialRegion,http://www.w3.org/2004/02/skos/core#broader,broader,broader
https://w3id.org/nen2660/def#transforms,https://w3id.org/nen2660/term#transforms,transforms,transforms,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,seeAlso
https://w3id.org/nen2660/def#InformationObject,literal_3269579079580989821,InformationObject,"""Object which describes a thing in reality""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#requirementSeverityType,literal_-2259467491540215905,requirementSeverityType,"""Het hebben van een ernsttype door een eis""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/def#RequirementSeverityType,http://www.w3.org/2000/01/rdf-schema#Class,RequirementSeverityType,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/term#MatterPortion,https://w3id.org/nen2660/term#RelationReference,MatterPortion,RelationReference,http://www.w3.org/2004/02/skos/core#broader,broader,broader
https://w3id.org/nen2660/term#isImplementedBy,literal_-4775141965932617438,isImplementedBy,"""De technische entiteit die een functionele entitei...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/def#Connection,http://www.w3.org/ns/shacl#NodeShape,Connection,NodeShape,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#hasInterior,https://w3id.org/nen2660/term#hasInterior,hasInterior,hasInterior,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,seeAlso
https://w3id.org/nen2660/term#hasPart,literal_7184614527241377331,hasPart,"""Een decompositie (heeftDeel) relatie tussen concre...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#State,https://w3id.org/nen2660/term#ConcreteConcept,State,ConcreteConcept,http://www.w3.org/2004/02/skos/core#broader,broader,broader
https://w3id.org/nen2660/term#requirementSeverityType,literal_-6686458822124872922,requirementSeverityType,"""eis ernst type""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/term#HeterogeneousMixture,http://www.w3.org/2004/02/skos/core#Concept,HeterogeneousMixture,Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/term#RequirementTopicType,https://w3id.org/nen2660/term#EnumerationType,RequirementTopicType,EnumerationType,http://www.w3.org/2004/02/skos/core#broader,broader,broader
https://w3id.org/nen2660/rdfs/def,http://qudt.org/2.1/schema/qudt,def,qudt,http://www.w3.org/2002/07/owl#imports,imports,imports
https://w3id.org/nen2660/term#connectsObject,literal_2786911168680173617,connectsObject,"""verbindt object""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/term#AmountOfBulkMatter,https://w3id.org/nen2660/term#RealObject,AmountOfBulkMatter,RealObject,http://www.w3.org/2004/02/skos/core#broader,broader,broader
https://w3id.org/nen2660/def#PureSubstance,https://w3id.org/nen2660/def#Matter,PureSubstance,Matter,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
https://w3id.org/nen2660/term#hasQuantityKind,http://www.w3.org/2004/02/skos/core#Concept,hasQuantityKind,Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://qudt.org/schema/qudt/Unit,https://w3id.org/nen2660/def#EnumerationType,Unit,EnumerationType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#abbreviation,literal_-3618896620136113215,abbreviation,"""Acronym or initial word as special case of an exte...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#Activity,https://w3id.org/nen2660/term#Entity,Activity,Entity,http://www.w3.org/2004/02/skos/core#broader,broader,broader
https://w3id.org/nen2660/term#EnumerationType,http://www.w3.org/2004/02/skos/core#Concept,EnumerationType,Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#transferType,http://www.w3.org/2002/07/owl#ObjectProperty,transferType,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/term#participatesIn,literal_3521013971493917388,participatesIn,"""De interactie waaraan een fysiek object deelneemt""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#abbreviation,http://www.w3.org/2004/02/skos/core#altLabel,abbreviation,altLabel,http://www.w3.org/2004/02/skos/core#broader,broader,broader
https://w3id.org/nen2660/term#AmountOfBulkMatter,literal_-8264399132756290710,AmountOfBulkMatter,"""Een reëel object dat bestaat uit een aaneengeslote...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/def#Mixture,http://www.w3.org/2000/01/rdf-schema#Class,Mixture,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#hasUnitShape,http://www.w3.org/ns/shacl#NodeShape,hasUnitShape,NodeShape,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#transferType,https://w3id.org/nen2660/term#transferType,transferType,transferType,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,seeAlso
https://w3id.org/nen2660/def#QualityValue,http://www.w3.org/2000/01/rdf-schema#Class,QualityValue,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/term#SpatialRegion,literal_-8885203614708688575,SpatialRegion,"""A physical object that encloses a particular area ...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#State,http://www.w3.org/2004/02/skos/core#Concept,State,Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#GeometricEntity,https://w3id.org/nen2660/def#Representation,GeometricEntity,Representation,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
https://w3id.org/nen2660/term#RequirementSeverityType,literal_-8988874596518267490,RequirementSeverityType,"""The seriousness of a requirement like demanded or ...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#TransferType,literal_-8683649681306021274,TransferType,"""Het soort ding dat wordt overgedragen, hier: mater...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/def#RequirementTopicType,http://www.w3.org/2002/07/owl#Class,RequirementTopicType,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#hasState,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,hasState,Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/term#overInterface,literal_-2478664803919001846,overInterface,"""The interface over which an interaction between ph...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#overInterface,literal_-8831001095740377624,overInterface,"""Het raakvlak waarover een interactie tussen fysiek...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#MatterPortion,literal_6336872146784801445,MatterPortion,"""Materie-aandeel""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/def#AggregationStateType,https://w3id.org/nen2660/term#AggregationStateType,AggregationStateType,AggregationStateType,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,seeAlso
https://w3id.org/nen2660/def#hasTemporalEntity,https://w3id.org/nen2660/term#hasTemporalEntity,hasTemporalEntity,hasTemporalEntity,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,seeAlso
https://w3id.org/nen2660/term#AmountOfBulkMatter,literal_-8317346490338700215,AmountOfBulkMatter,"""Amount of bulk matter""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/term#QuantityKind,literal_-3478632142894340017,QuantityKind,"""Elke waarneembare eigenschap die numeriek kan word...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/def#RequirementSeverityType,literal_8662767581959160838,RequirementSeverityType,"""Requirement severity type""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/term#ends,literal_7928533175049419278,ends,"""beeindigt""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/def#MatterPortion,https://w3id.org/nen2660/term#MatterPortion,MatterPortion,MatterPortion,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,seeAlso
https://w3id.org/nen2660/def#Event,http://www.w3.org/ns/shacl#NodeShape,Event,NodeShape,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/term#requirementSeverityType,http://www.w3.org/2004/02/skos/core#Concept,requirementSeverityType,Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#requirementSourceType,https://w3id.org/nen2660/term#requirementSourceType,requirementSourceType,requirementSourceType,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,seeAlso
https://w3id.org/nen2660/term#Gas,http://www.w3.org/2004/02/skos/core#Concept,Gas,Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/def#ends,https://w3id.org/nen2660/def#State,ends,State,http://www.w3.org/2000/01/rdf-schema#range,range,range
https://w3id.org/nen2660/def#begins,https://w3id.org/nen2660/term#begins,begins,begins,http://www.w3.org/2000/01/rdf-schema#seeAlso,seeAlso,seeAlso
https://w3id.org/nen2660/term#RequirementSeverityType,http://www.w3.org/2004/02/skos/core#Concept,RequirementSeverityType,Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
https://w3id.org/nen2660/term#connectsPort,literal_-4470931706102602882,connectsPort,"""De poorten (als onderdeel van fysieke objecten) ve...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#TemporalEntity,literal_6405270306812341303,TemporalEntity,"""Een tijdsinterval of -moment""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
https://w3id.org/nen2660/term#Mixture,literal_-5502553081499930710,Mixture,"""Mengsel""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/def#hasQuantityKind,literal_4061643772459867741,hasQuantityKind,"""has quantity kind""",http://www.w3.org/2004/02/skos/core#prefLabel,prefLabel,prefLabel
https://w3id.org/nen2660/def#isConnectedTo,literal_4090221236469833151,isConnectedTo,"""The topological relationship between physical obje...""",http://www.w3.org/2004/02/skos/core#definition,definition,definition
