source,target,source_label,target_label,predicate,predicate_label,edge_type
http://dbpedia.org/ontology/owner,literal_-1277100972082686464,owner,"""owner""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/performer,literal_-9180076414229583031,performer,"""performer""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/VolleyballPlayer,http://www.w3.org/2002/07/owl#Class,volleyball player,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/latestReleaseVersion,http://www.w3.org/2002/07/owl#DatatypeProperty,latest release version,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Cat,http://www.w3.org/2002/07/owl#Class,cat,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/calculationNeeds,http://www.w3.org/2002/07/owl#ObjectProperty,its calculation needs,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/route,literal_1405675395131051693,route,"""route""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/translator,http://www.w3.org/2002/07/owl#ObjectProperty,translator,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/typeOfStorage,http://www.w3.org/2002/07/owl#DatatypeProperty,type of storage,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Amphibian,http://dbpedia.org/ontology/Animal,amphibian,animal,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/MilitaryConflict,http://www.w3.org/2002/07/owl#Class,military conflict,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/legalForm,literal_5851964196863919098,legal form,"""legal form""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/giniCoefficientRanking,literal_-5530430559469389048,gini coefficient ranking,"""gini coefficient ranking""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/SoccerLeagueSeason,literal_-6290034998725643224,soccer league season,"""soccer league season""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/centuryBreaks,literal_2110304949098109749,century breaks,"""century breaks""",http://www.w3.org/2000/01/rdf-schema#label,label,label
